system:index,landcover,.geo
0_33,6,"{""type"":""Polygon"",""coordinates"":[[[121.33778704756715,31.30049978129267],[121.3377012168787,31.29873964323784],[121.33898867720582,31.29888632266474],[121.33933199995971,31.30049978129267],[121.33778704756715,31.30049978129267]]]}"
0_34,6,"{""type"":""Polygon"",""coordinates"":[[[121.3171010961214,31.29806342861068],[121.31718692680987,31.296523269793788],[121.31864604851397,31.296816635318436],[121.31873187920245,31.298576809289727],[121.3171010961214,31.29806342861068]]]}"
0_35,6,"{""type"":""Polygon"",""coordinates"":[[[121.82111903199578,31.343271052278055],[121.82114048966788,31.34273958885352],[121.82187005051995,31.34273958885352],[121.8220417118969,31.343252726003048],[121.82111903199578,31.343271052278055]]]}"
0_36,6,"{""type"":""Polygon"",""coordinates"":[[[121.81676312455559,31.34118183393324],[121.81663437852285,31.34076031934447],[121.81736393937493,31.340723665812703],[121.81757851609613,31.34109020048763],[121.81676312455559,31.34118183393324]]]}"
0_37,6,"{""type"":""Polygon"",""coordinates"":[[[121.81862287173864,31.33353799529451],[121.81905202518104,31.333501338949358],[121.8190091098368,31.334674334912275],[121.8186657870829,31.33463767900975],[121.81862287173864,31.33353799529451]]]}"
0_38,6,"{""type"":""Polygon"",""coordinates"":[[[121.48778568650901,31.35523735429538],[121.48769985582054,31.354431097403126],[121.49027477647483,31.35428450449816],[121.49044643785179,31.355457241338947],[121.48778568650901,31.35523735429538]]]}"
0_39,6,"{""type"":""Polygon"",""coordinates"":[[[121.47551189805691,31.36080766757257],[121.4753402366799,31.35992816636401],[121.47714268113795,31.359781582029328],[121.47714268113792,31.361100832813644],[121.47551189805691,31.36080766757257]]]}"
0_40,6,"{""type"":""Polygon"",""coordinates"":[[[121.4339395633883,31.381070224501656],[121.43411122476525,31.37909176184549],[121.43496953165,31.379165038983214],[121.43496953165,31.381070224501656],[121.4339395633883,31.381070224501656]]]}"
0_41,6,"{""type"":""Polygon"",""coordinates"":[[[121.39998400561188,31.377964901048163],[121.39989817492342,31.376645886974003],[121.4010998045621,31.376645886974003],[121.40135729662751,31.377964901048163],[121.39998400561188,31.377964901048163]]]}"
0_42,6,"{""type"":""Polygon"",""coordinates"":[[[121.39964257907214,31.312009580052944],[121.39942800235097,31.311166287700168],[121.40024339389147,31.31109295757357],[121.40054380130118,31.311899585826406],[121.39964257907214,31.312009580052944]]]}"
0_43,6,"{""type"":""Polygon"",""coordinates"":[[[121.37890105214026,31.31159135820437],[121.37894396748453,31.310638066407606],[121.37963061299232,31.31071139688834],[121.37958769764808,31.31155469331367],[121.37890105214026,31.31159135820437]]]}"
0_44,6,"{""type"":""Polygon"",""coordinates"":[[[121.34974448142144,31.314149295041513],[121.34978739676568,31.313379350249775],[121.35064570365044,31.313489342748216],[121.34974448142144,31.314149295041513]]]}"
0_45,6,"{""type"":""Polygon"",""coordinates"":[[[121.3384455529847,31.320798623119067],[121.33835972229616,31.31951546890725],[121.33951843659061,31.320981929436165],[121.3384455529847,31.320798623119067]]]}"
0_46,6,"{""type"":""Polygon"",""coordinates"":[[[121.3268679081257,31.326295121937342],[121.32656750071602,31.325525276454194],[121.3272112308796,31.325488616988437],[121.32751163828925,31.326148485187836],[121.3268679081257,31.326295121937342]]]}"
0_47,6,"{""type"":""Polygon"",""coordinates"":[[[121.31350185552398,31.323251760251594],[121.31345894017971,31.322371907886254],[121.31448890844142,31.322335247192598],[121.31440307775297,31.323325080910898],[121.31350185552398,31.323251760251594]]]}"
0_48,6,"{""type"":""Polygon"",""coordinates"":[[[121.31714394440127,31.335956783858794],[121.31714394440127,31.33537029569754],[121.31830265869571,31.3353336400661],[121.31825974335148,31.335846817606996],[121.31714394440127,31.335956783858794]]]}"
0_49,6,"{""type"":""Polygon"",""coordinates"":[[[121.35168658156782,31.352664816719226],[121.35177241225627,31.35207843271447],[121.35245905776408,31.352078432714478],[121.35168658156782,31.352664816719226]]]}"
0_50,6,"{""type"":""Polygon"",""coordinates"":[[[121.38003283172327,31.35918921468325],[121.38084822326383,31.359152568332973],[121.38076239257532,31.35992213868921],[121.37998991637903,31.359738908223385],[121.38003283172327,31.35918921468325]]]}"
0_51,6,"{""type"":""Polygon"",""coordinates"":[[[121.36785501872953,31.366696425941253],[121.36781210338529,31.36614677308497],[121.36871332561431,31.366110129446916],[121.36875624095852,31.366806356126784],[121.36785501872953,31.366696425941253]]]}"
0_52,6,"{""type"":""Polygon"",""coordinates"":[[[121.35493036230363,31.374953257915987],[121.35493036230363,31.37440365335177],[121.35548826177873,31.374440293756063],[121.35557409246718,31.374953257915987],[121.35493036230363,31.374953257915987]]]}"
0_53,6,"{""type"":""Polygon"",""coordinates"":[[[121.33679305915975,31.378209874514678],[121.33692180519245,31.377696928134995],[121.33756553535602,31.37777020636069],[121.3375226200118,31.378246513434625],[121.33679305915975,31.378209874514678]]]}"
0_54,6,"{""type"":""Polygon"",""coordinates"":[[[121.33537592768299,31.387788682775614],[121.33546175837147,31.38705597610039],[121.33627714991201,31.387165882466086],[121.33636298060048,31.387898588283832],[121.33537592768299,31.387788682775614]]]}"
0_55,6,"{""type"":""Polygon"",""coordinates"":[[[121.32284850199504,31.393937326944616],[121.32293433268352,31.39342446645581],[121.3234493168144,31.39342446645581],[121.32357806284709,31.394010592500013],[121.32284850199504,31.393937326944616]]]}"
0_56,6,"{""type"":""Polygon"",""coordinates"":[[[121.52857761134675,31.372068240681955],[121.52847032298615,31.371646864532728],[121.52919988383822,31.371518619242703],[121.52917842616607,31.371903354587726],[121.52857761134675,31.372068240681955]]]}"
0_57,6,"{""type"":""Polygon"",""coordinates"":[[[121.57008103828224,31.372416337978507],[121.5700595806101,31.372031604733795],[121.57074622611792,31.372068246063076],[121.57076768379007,31.372361376182866],[121.57008103828224,31.372416337978507]]]}"
0_58,6,"{""type"":""Polygon"",""coordinates"":[[[121.49165396392272,31.3864637808568],[121.49246935546326,31.387049950350544],[121.49165396392274,31.387855927430582],[121.49109606444762,31.387489575069885],[121.49165396392272,31.3864637808568]]]}"
0_59,6,"{""type"":""Polygon"",""coordinates"":[[[121.45840393691681,31.3981808646476],[121.45844685226102,31.397374976192495],[121.45939098983428,31.397411607635988],[121.45934807449001,31.398290757991816],[121.45840393691681,31.3981808646476]]]}"
0_60,6,"{""type"":""Polygon"",""coordinates"":[[[121.4233725879909,31.39599981806827],[121.42341550333514,31.395303807730578],[121.42427381021993,31.39545033665154],[121.42423089487569,31.39599981806827],[121.4233725879909,31.39599981806827]]]}"
0_61,6,"{""type"":""Polygon"",""coordinates"":[[[121.39092102790357,31.40204952189403],[121.3908351972151,31.401353556411127],[121.39160767341136,31.401316926505928],[121.39169350409983,31.40201289226044],[121.39092102790357,31.40204952189403]]]}"
0_62,6,"{""type"":""Polygon"",""coordinates"":[[[121.35745900407176,31.403964022705832],[121.35737317338327,31.40341458790853],[121.35818856492381,31.40341458790853],[121.35848897233346,31.40411053810853],[121.35745900407176,31.403964022705832]]]}"
0_63,6,"{""type"":""Polygon"",""coordinates"":[[[121.34993217702498,31.411656241955292],[121.34984634633653,31.411143478279495],[121.35182045217148,31.41066733807129],[121.35130546804061,31.41150973833388],[121.34993217702498,31.411656241955292]]]}"
0_64,6,"{""type"":""Polygon"",""coordinates"":[[[121.33335628310125,31.41456886438833],[121.33348502913398,31.413872991753156],[121.33404292860905,31.41394624174731],[121.33404292860905,31.414825237215915],[121.33335628310125,31.41456886438833]]]}"
0_65,6,"{""type"":""Polygon"",""coordinates"":[[[121.3119914565331,31.420251438484918],[121.31194854118884,31.419885212559837],[121.31259227135241,31.41977534450346],[121.31272101738513,31.420251438484918],[121.3119914565331,31.420251438484918]]]}"
0_66,6,"{""type"":""Polygon"",""coordinates"":[[[121.48112163458227,31.304632522043065],[121.48283824835181,31.302432440832593],[121.48541316900608,31.302872461184418],[121.4842973700559,31.30602588023863],[121.48249492559792,31.306172548323648],[121.48112163458227,31.304632522043065]]]}"
0_67,6,"{""type"":""Polygon"",""coordinates"":[[[121.47549963265135,31.295611601049174],[121.47567129402829,31.294584804589817],[121.47850370674801,31.294878176148217],[121.4789328601904,31.29729845666258],[121.47601461678218,31.29729845666258],[121.47549963265135,31.295611601049174]]]}"
0_68,6,"{""type"":""Polygon"",""coordinates"":[[[121.51128258101147,31.30264442895972],[121.51411499373118,31.30117768291304],[121.51557411543534,31.304037816556292],[121.51093925825758,31.30440449407797],[121.51128258101147,31.30264442895972]]]}"
0_69,6,"{""type"":""Polygon"",""coordinates"":[[[121.51176181096882,31.290657644927652],[121.51159014959187,31.289704141333125],[121.51416507024616,31.289704141333125],[121.51450839300006,31.29241793391831],[121.51201930303428,31.29241793391831],[121.51176181096882,31.290657644927652]]]}"
0_70,6,"{""type"":""Polygon"",""coordinates"":[[[121.52917759940766,31.28960946052579],[121.53003590629243,31.287922467308483],[121.53364079520846,31.288142511613962],[121.53321164176606,31.29136976908932],[121.53072255180027,31.29136976908933],[121.52917759940766,31.28960946052579]]]}"
0_71,6,"{""type"":""Polygon"",""coordinates"":[[[121.51282883879831,31.27598591398225],[121.51497460601027,31.275619125907664],[121.51746369597605,31.27613262881272],[121.51815034148385,31.278846812013096],[121.51351548430613,31.278553390567776],[121.51282883879831,31.27598591398225]]]}"
0_72,6,"{""type"":""Polygon"",""coordinates"":[[[121.52938503468665,31.272211828970946],[121.53256077016029,31.27213846853511],[121.53324741566807,31.275072841470287],[121.52947086537513,31.275292915760723],[121.52938503468665,31.272211828970946]]]}"
0_73,6,"{""type"":""Polygon"",""coordinates"":[[[121.54353398985694,31.287207238219317],[121.54267568297217,31.285446851932743],[121.54722470946143,31.28764732965533],[121.54507894224955,31.287940722804723],[121.54353398985694,31.287207238219317]]]}"
0_74,6,"{""type"":""Polygon"",""coordinates"":[[[121.57593835455555,31.277500097473645],[121.57576669317861,31.27625303222045],[121.57799829107898,31.27544609885886],[121.58074487311023,31.278747146238565],[121.57636750799792,31.27882050153478],[121.57593835455555,31.277500097473645]]]}"
0_75,6,"{""type"":""Polygon"",""coordinates"":[[[121.564336712577,31.264054615908552],[121.56571000359263,31.262367165574673],[121.56948655388561,31.262807372918537],[121.56819909355848,31.265888766830603],[121.56536668083871,31.265815401478193],[121.564336712577,31.264054615908552]]]}"
0_76,6,"{""type"":""Polygon"",""coordinates"":[[[121.590659969235,31.26551397183809],[121.59151827611974,31.264046648124555],[121.59512316503577,31.26646772001673],[121.59220492162756,31.26646772001673],[121.590659969235,31.26551397183809]]]}"
1_0,4,"{""type"":""Polygon"",""coordinates"":[[[121.75310774793496,31.39249481913435],[121.75130530347698,31.389710642890613],[121.75396605481973,31.387805632633043],[121.75697012891642,31.39080966969075],[121.75310774793496,31.39249481913435]]]}"
1_1,4,"{""type"":""Polygon"",""coordinates"":[[[121.64303724271086,31.42762101202363],[121.6420931051376,31.42535056666283],[121.64423887234955,31.426009733882587],[121.64475385648043,31.427401293907515],[121.64303724271086,31.42762101202363]]]}"
1_2,4,"{""type"":""Polygon"",""coordinates"":[[[121.58339849736775,31.448412684703694],[121.582540190483,31.44680176395341],[121.5851151111373,31.44658209079598],[121.58545843389125,31.448193015323284],[121.58339849736775,31.448412684703694]]]}"
1_3,4,"{""type"":""Polygon"",""coordinates"":[[[121.36913462982923,31.401186962245365],[121.37050792084486,31.401846299264932],[121.37059375153333,31.402798666782985],[121.36922046051771,31.402139336453594],[121.36913462982923,31.401186962245365]]]}"
1_4,4,"{""type"":""Polygon"",""coordinates"":[[[121.31491025197961,31.3854831265054],[121.31576855886439,31.38577621476993],[121.31482442129116,31.387095100641652],[121.31409486043908,31.38683865206162],[121.31491025197961,31.3854831265054]]]}"
1_5,4,"{""type"":""Polygon"",""coordinates"":[[[121.31292420707504,31.361255584966145],[121.31283837638658,31.361915202330067],[121.31176549278061,31.361878557042377],[121.31159383140366,31.361292230496684],[121.31292420707504,31.361255584966145]]]}"
1_6,4,"{""type"":""Polygon"",""coordinates"":[[[121.31854563105098,31.354050613687917],[121.31863146173949,31.354508716896564],[121.31785898554318,31.354472068721996],[121.31783752787106,31.354160558661526],[121.31854563105098,31.354050613687917]]]}"
1_7,4,"{""type"":""Polygon"",""coordinates"":[[[121.31557100282821,31.35325712958955],[121.31563537584458,31.3536785881799],[121.31490581499253,31.35366026393266],[121.3148843573204,31.35331210255628],[121.31557100282821,31.35325712958955]]]}"
1_8,4,"{""type"":""Polygon"",""coordinates"":[[[121.31765463363985,31.35942226735782],[121.3174829722629,31.358909218425758],[121.3179764987216,31.359000834511818],[121.31797649872163,31.359495559833853],[121.31765463363985,31.35942226735782]]]}"
1_9,4,"{""type"":""Polygon"",""coordinates"":[[[121.3185977847005,31.36594897026667],[121.3185763270284,31.36571078586279],[121.31922005719197,31.36571078586279],[121.31911276883137,31.36616883225762],[121.3185977847005,31.36594897026667]]]}"
1_10,4,"{""type"":""Polygon"",""coordinates"":[[[121.31486614479726,31.369451028976737],[121.31486614479726,31.369231174663845],[121.31516655220695,31.36930445949194],[121.3152094675512,31.369597598232914],[121.31486614479726,31.369451028976737]]]}"
1_11,4,"{""type"":""Polygon"",""coordinates"":[[[121.31153377668694,31.367684291270322],[121.3119414724572,31.367684291270322],[121.31200584547355,31.36805072087059],[121.31176981108023,31.36805072087059],[121.31153377668694,31.367684291270322]]]}"
1_12,4,"{""type"":""Polygon"",""coordinates"":[[[121.32873892250164,31.40837133545313],[121.32839559974775,31.407748671683557],[121.32938265266522,31.407382396947863],[121.3295543140422,31.407968435838747],[121.32873892250164,31.40837133545313]]]}"
1_13,4,"{""type"":""Polygon"",""coordinates"":[[[121.34335200851778,31.45659301219508],[121.34356658523897,31.455970668630144],[121.34459655350072,31.45626353670523],[121.34459655350072,31.456776053633035],[121.34335200851778,31.45659301219508]]]}"
1_14,4,"{""type"":""Polygon"",""coordinates"":[[[121.32692707763813,31.45516903526175],[121.32806433426043,31.45546190584346],[121.32806433426043,31.455864601398066],[121.3270129083266,31.455608340790928],[121.32692707763813,31.45516903526175]]]}"
1_15,4,"{""type"":""Polygon"",""coordinates"":[[[121.32243713185952,31.449969657345473],[121.32248004720375,31.449640158557806],[121.32338126943277,31.44962185303561],[121.3231023196952,31.45004287914092],[121.32243713185952,31.449969657345473]]]}"
1_16,4,"{""type"":""Polygon"",""coordinates"":[[[121.34685070668569,31.443892023180613],[121.34685070668569,31.44328790199831],[121.34749443684929,31.44328790199831],[121.34758026753777,31.44396524972594],[121.34685070668569,31.443892023180613]]]}"
1_17,4,"{""type"":""Polygon"",""coordinates"":[[[121.37462780914548,31.430560216093838],[121.37464926681761,31.431017946165863],[121.37415574035889,31.430963018675214],[121.37413428268678,31.43059683458184],[121.37462780914548,31.430560216093838]]]}"
1_18,4,"{""type"":""Polygon"",""coordinates"":[[[121.37984856559228,31.425653205242476],[121.38049229575586,31.425708135843838],[121.38042792273951,31.42655040103499],[121.37967690421533,31.426495470927055],[121.37984856559228,31.425653205242476]]]}"
1_19,4,"{""type"":""Polygon"",""coordinates"":[[[121.39401677623196,31.42726414200235],[121.3944030143301,31.427282451891806],[121.39438155665799,31.428307799994922],[121.39401677623196,31.428271180612875],[121.39401677623196,31.42726414200235]]]}"
1_20,4,"{""type"":""Polygon"",""coordinates"":[[[121.73881624050313,31.40003964803681],[121.73834417171649,31.399233775539507],[121.73976037807635,31.397292327022047],[121.742034891321,31.39696264309701],[121.74285028286153,31.39908725252394],[121.73963163204364,31.400772253394187],[121.73881624050313,31.40003964803681]]]}"
1_21,4,"{""type"":""Polygon"",""coordinates"":[[[121.73032758171229,31.405122183777163],[121.72989842826989,31.404059953375622],[121.73174378807215,31.403730293220192],[121.73225877220301,31.405048926894082],[121.73041341240078,31.405708236783166],[121.73032758171229,31.405122183777163]]]}"
1_22,4,"{""type"":""Polygon"",""coordinates"":[[[121.74648953774538,31.396529698456828],[121.74503041604129,31.395577267332897],[121.74833489754761,31.393049614810838],[121.74927903512086,31.39506441580239],[121.74704743722046,31.39641980305105],[121.74648953774538,31.396529698456828]]]}"
1_23,4,"{""type"":""Polygon"",""coordinates"":[[[121.73583982595419,31.4020415983299],[121.73553941854449,31.40163867154002],[121.73583982595417,31.4005031412806],[121.7373418630025,31.40046651104353],[121.73841474660847,31.40171193108502],[121.73601148733114,31.402627670572844],[121.73583982595419,31.4020415983299]]]}"
1_24,4,"{""type"":""Polygon"",""coordinates"":[[[121.75732890664548,31.38819262309212],[121.7564276844165,31.38756982546148],[121.7551831394336,31.38603113125505],[121.75805846749753,31.385591499708525],[121.7597750812671,31.388265893130075],[121.75792972146482,31.388778781795008],[121.75732890664548,31.38819262309212]]]}"
2_0,0,"{""type"":""Polygon"",""coordinates"":[[[121.4748931915622,31.470430942633865],[121.4730049164157,31.46779549577075],[121.47815475772431,31.467356247413495],[121.47798309634733,31.47028453086575],[121.4748931915622,31.470430942633865]]]}"
2_1,0,"{""type"":""Polygon"",""coordinates"":[[[121.52001264376892,31.439784904547],[121.51949765963805,31.436855667439207],[121.52516248507752,31.436269809031852],[121.52018430514589,31.441103031377],[121.52001264376892,31.439784904547]]]}"
2_2,0,"{""type"":""Polygon"",""coordinates"":[[[121.51927034542125,31.41468153410329],[121.51789705440564,31.4126305287235],[121.51961366817517,31.409993455921498],[121.52236025020642,31.41277703059476],[121.51927034542125,31.41468153410329]]]}"
2_3,0,"{""type"":""Polygon"",""coordinates"":[[[121.51489893369472,31.352230629565632],[121.51404062681,31.351204450420063],[121.51584307126798,31.35039815895044],[121.51661554746427,31.351204450420063],[121.51489893369472,31.352230629565632]]]}"
2_4,0,"{""type"":""Polygon"",""coordinates"":[[[121.55896719484362,31.295873533435994],[121.55999716310532,31.297340362039794],[121.55913885622056,31.299833918272483],[121.55776556520493,31.299393883731632],[121.55896719484362,31.295873533435994]]]}"
2_5,0,"{""type"":""Polygon"",""coordinates"":[[[121.53200053351972,31.25131659220534],[121.53285884040447,31.252123731919045],[121.53273009437177,31.252563987036364],[121.53161429542159,31.251610098354146],[121.53200053351972,31.25131659220534]]]}"
2_6,0,"{""type"":""Polygon"",""coordinates"":[[[121.46199730460721,31.171690467313898],[121.46255520408234,31.1714701516683],[121.46264103477078,31.172645162522752],[121.46199730460722,31.1726084436542],[121.46199730460721,31.171690467313898]]]}"
2_7,0,"{""type"":""Polygon"",""coordinates"":[[[121.46240745847909,31.184958188300623],[121.46262203520031,31.184003617231618],[121.4633086807081,31.18521518655918],[121.46322285001962,31.185545611866367],[121.46240745847909,31.184958188300623]]]}"
2_8,0,"{""type"":""Polygon"",""coordinates"":[[[121.71622118906332,31.460539112816814],[121.7145045752938,31.456439063609814],[121.71965441660238,31.455853327641556],[121.7206843848641,31.459953402491532],[121.71622118906332,31.460539112816814]]]}"
2_9,0,"{""type"":""Polygon"",""coordinates"":[[[121.61218882711604,31.504496940751658],[121.61115885885434,31.501862453429222],[121.6204285732098,31.50156972803288],[121.62077189596371,31.50508237229664],[121.61218882711604,31.504496940751658]]]}"
2_10,0,"{""type"":""Polygon"",""coordinates"":[[[121.38967144045324,31.501465874365312],[121.38915645632238,31.499563134835498],[121.39070140871495,31.499563134835498],[121.39173137697668,31.501173147727307],[121.38967144045324,31.501465874365312]]]}"
2_11,0,"{""type"":""Polygon"",""coordinates"":[[[121.36429202068736,31.506881151845338],[121.36412035931038,31.50483216482606],[121.36806857098033,31.504539448728387],[121.36824023235728,31.506442086979316],[121.36429202068736,31.506881151845338]]]}"
2_12,0,"{""type"":""Polygon"",""coordinates"":[[[121.44623998941387,31.45326964749282],[121.44598249734844,31.452464232339036],[121.44752744974102,31.45209813225253],[121.44623998941387,31.45326964749282]]]}"
2_13,0,"{""type"":""Polygon"",""coordinates"":[[[121.77230304669494,31.408565299554823],[121.77127307843324,31.407393225568324],[121.77298969220278,31.40680718308512],[121.77384799908756,31.407832755028856],[121.77230304669494,31.408565299554823]]]}"
2_14,0,"{""type"":""Polygon"",""coordinates"":[[[121.78924240805816,31.365136360009668],[121.79061569907378,31.364403476656157],[121.79181732871243,31.36660210957364],[121.79027237631986,31.36660210957364],[121.78924240805816,31.365136360009668]]]}"
